neues_jahr,new_year
zeige_info,open_info_window
neuer_monat,new_month
finde_anzahl_hersteller,count_producers
anzahl_hersteller,producer_count
anzahl_staedte,city_count
vehikel_anzahl,vehicle_count
get_bild_anzahl,get_count
get_waren_anzahl,get_count
get_anzahl_besch,get_count
anzahl,count
